datetime,energy
2012-09-01 01:00:00,15154.0
2012-09-01 02:00:00,14224.0
2012-09-01 03:00:00,13696.0
2012-09-01 04:00:00,13221.0
2012-09-01 05:00:00,13130.0
2012-09-01 06:00:00,13036.0
2012-09-01 07:00:00,13349.0
2012-09-01 08:00:00,13525.0
2012-09-01 09:00:00,14230.0
2012-09-01 10:00:00,15047.0
2012-09-01 11:00:00,16095.0
2012-09-01 12:00:00,16870.0
2012-09-01 13:00:00,17470.0
2012-09-01 14:00:00,17947.0
2012-09-01 15:00:00,18212.0
2012-09-01 16:00:00,18180.0
2012-09-01 17:00:00,18172.0
2012-09-01 18:00:00,17961.0
2012-09-01 19:00:00,17375.0
2012-09-01 20:00:00,16809.0
2012-09-01 21:00:00,16891.0
2012-09-01 22:00:00,16459.0
2012-09-01 23:00:00,15582.0
2012-09-02 00:00:00,14555.0
2012-09-02 01:00:00,13621.0
2012-09-02 02:00:00,13016.0
2012-09-02 03:00:00,12550.0
2012-09-02 04:00:00,12217.0
2012-09-02 05:00:00,12200.0
2012-09-02 06:00:00,12219.0
2012-09-02 07:00:00,12377.0
2012-09-02 08:00:00,12570.0
2012-09-02 09:00:00,13404.0
2012-09-02 10:00:00,14336.0
2012-09-02 11:00:00,15189.0
2012-09-02 12:00:00,15850.0
2012-09-02 13:00:00,16528.0
2012-09-02 14:00:00,17055.0
2012-09-02 15:00:00,17255.0
2012-09-02 16:00:00,17401.0
2012-09-02 17:00:00,17602.0
2012-09-02 18:00:00,17525.0
2012-09-02 19:00:00,17229.0
2012-09-02 20:00:00,16853.0
2012-09-02 21:00:00,16795.0
2012-09-02 22:00:00,16273.0
2012-09-02 23:00:00,15304.0
2012-09-03 00:00:00,14381.0
2012-09-03 01:00:00,13499.0
2012-09-03 02:00:00,12805.0
2012-09-03 03:00:00,12446.0
2012-09-03 04:00:00,12077.0
2012-09-03 05:00:00,12036.0
2012-09-03 06:00:00,12045.0
2012-09-03 07:00:00,12258.0
2012-09-03 08:00:00,12319.0
2012-09-03 09:00:00,13076.0
2012-09-03 10:00:00,14280.0
2012-09-03 11:00:00,15312.0
2012-09-03 12:00:00,16172.0
2012-09-03 13:00:00,16661.0
2012-09-03 14:00:00,17104.0
2012-09-03 15:00:00,17313.0
2012-09-03 16:00:00,17488.0
2012-09-03 17:00:00,17581.0
2012-09-03 18:00:00,17769.0
2012-09-03 19:00:00,17602.0
2012-09-03 20:00:00,17373.0
2012-09-03 21:00:00,17490.0
2012-09-03 22:00:00,16924.0
2012-09-03 23:00:00,15879.0
2012-09-04 00:00:00,14759.0
2012-09-04 01:00:00,13948.0
2012-09-04 02:00:00,13385.0
2012-09-04 03:00:00,12994.0
2012-09-04 04:00:00,12682.0
2012-09-04 05:00:00,12969.0
2012-09-04 06:00:00,13782.0
2012-09-04 07:00:00,15354.0
2012-09-04 08:00:00,16114.0
2012-09-04 09:00:00,16599.0
2012-09-04 10:00:00,17007.0
2012-09-04 11:00:00,17644.0
2012-09-04 12:00:00,18335.0
2012-09-04 13:00:00,19035.0
2012-09-04 14:00:00,19565.0
2012-09-04 15:00:00,19907.0
2012-09-04 16:00:00,19907.0
2012-09-04 17:00:00,20020.0
2012-09-04 18:00:00,20000.0
2012-09-04 19:00:00,19795.0
2012-09-04 20:00:00,19435.0
2012-09-04 21:00:00,19450.0
2012-09-04 22:00:00,18566.0
2012-09-04 23:00:00,17190.0
2012-09-05 00:00:00,15803.0
2012-09-05 01:00:00,14724.0
2012-09-05 02:00:00,14017.0
2012-09-05 03:00:00,13519.0
2012-09-05 04:00:00,13320.0
2012-09-05 05:00:00,13443.0
2012-09-05 06:00:00,13942.0
2012-09-05 07:00:00,15344.0
2012-09-05 08:00:00,15867.0
2012-09-05 09:00:00,16166.0
